State,Suburb,2019 ERP population,% Vaccinated - Dose 1,% Vaccinated - Dose 2
Queensland,Townsville,"156,191",83.1%,71.4%
Queensland,Whitsunday,"18,702",78.9%,63.3%
Queensland,Wynnum - Manly,"58,658",90.5%,81.2%
South Australia,Adelaide City,"24,015",89.9%,81.1%
South Australia,Adelaide Hills,"61,174",94.5%,85.4%
South Australia,Barossa,"30,428",85.2%,75.7%
South Australia,Burnside,"37,949",>95%,90.8%
South Australia,Campbelltown (SA),"43,979",91.0%,81.1%
South Australia,Charles Sturt,"97,529",85.8%,75.2%
South Australia,Eyre Peninsula and South West,"46,484",82.3%,72.3%
South Australia,Fleurieu - Kangaroo Island,"45,599",89.8%,81.1%
South Australia,Gawler - Two Wells,"29,610",89.3%,76.5%
South Australia,Holdfast Bay,"30,763",94.0%,87.3%
South Australia,Limestone Coast,"54,458",90.0%,77.7%
South Australia,Lower North,"19,085",84.7%,75.0%
South Australia,Marion,"79,151",90.2%,81.7%
South Australia,Mid North,"22,873",85.7%,75.0%
South Australia,Mitcham,"54,485",94.3%,87.8%
South Australia,Murray and Mallee,"60,421",83.6%,71.6%
South Australia,Norwood - Payneham - St Peters,"31,585",90.2%,82.8%
South Australia,Onkaparinga,"141,953",87.7%,78.8%
South Australia,Outback - North and East,"21,350",71.0%,60.2%
South Australia,Playford,"73,131",80.4%,65.3%
South Australia,Port Adelaide - East,"59,652",88.5%,77.7%
South Australia,Port Adelaide - West,"50,456",86.7%,75.0%
South Australia,Prospect - Walkerville,"24,445",91.9%,83.9%
South Australia,Salisbury,"113,398",84.8%,72.2%
South Australia,Tea Tree Gully,"79,032",90.0%,80.0%
South Australia,Unley,"32,926",90.8%,85.3%
South Australia,West Torrens,"54,703",87.0%,77.6%
South Australia,Yorke Peninsula,"22,370",88.9%,78.1%
Tasmania,Brighton,"14,098",93.9%,84.5%
Tasmania,Burnie - Ulverstone,"40,308",90.2%,80.9%
Tasmania,Central Highlands (Tas.),"9,530",81.9%,72.3%
Tasmania,Devonport,"38,403",89.3%,79.4%
Tasmania,Hobart - North East,"45,522",>95%,92.2%
Tasmania,Hobart - North West,"45,079",>95%,89.9%
Tasmania,Hobart - South and West,"28,145",>95%,93.6%
Tasmania,Hobart Inner,"46,733",>95%,93.5%
Tasmania,Huon - Bruny Island,"17,102",89.9%,81.4%
Tasmania,Launceston,"69,635",93.1%,85.4%
Tasmania,Meander Valley - West Tamar,"19,348",88.1%,79.8%
Tasmania,North East,"31,994",89.2%,80.8%
Tasmania,Sorell - Dodges Ferry,"14,146",94.5%,85.0%
Tasmania,South East Coast,"6,169",>95%,92.7%
Tasmania,West Coast,"14,114",81.8%,73.5%
Victoria,Ballarat,"90,002",>95%,>95%
Victoria,Banyule,"107,578",93.9%,91.2%
Victoria,Barwon - West,"16,203",>95%,>95%
Victoria,Baw Baw,"42,972",>95%,>95%
Victoria,Bayside,"87,219",>95%,94.4%
Victoria,Bendigo,"81,267",>95%,>95%
Victoria,Boroondara,"152,911",90.5%,88.6%
Victoria,Brimbank,"163,724",91.9%,86.5%
Victoria,Brunswick - Coburg,"86,451",80.4%,77.7%
Victoria,Campaspe,"31,106",>95%,>95%
Victoria,Cardinia,"86,426",>95%,>95%
Victoria,Casey - North,"113,118",94.0%,89.5%
Victoria,Casey - South,"160,114",>95%,>95%
Victoria,Colac - Corangamite,"30,801",>95%,>95%
Victoria,Creswick - Daylesford - Ballan,"24,506",>95%,93.7%
Victoria,Dandenong,"169,426",92.9%,87.8%
Victoria,Darebin - North,"89,592",82.5%,78.6%
Victoria,Darebin - South,"49,429",82.4%,79.8%
Victoria,Essendon,"63,129",86.9%,84.3%
Victoria,Frankston,"115,844",93.1%,89.2%
Victoria,Geelong,"169,264",>95%,94.4%
Victoria,Gippsland - East,"39,696",>95%,>95%
Victoria,Gippsland - South West,"54,867",>95%,>95%
Victoria,Glen Eira,"135,804",90.2%,87.5%
Victoria,Glenelg - Southern Grampians,"29,881",>95%,>95%
Victoria,Grampians,"48,898",>95%,>95%
Victoria,Heathcote - Castlemaine - Kyneton,"41,502",>95%,>95%
Victoria,Hobsons Bay,"74,997",90.6%,87.1%
Victoria,Keilor,"53,292",92.5%,89.0%
Victoria,Kingston,"105,282",92.7%,89.9%
Victoria,Knox,"135,630",>95%,92.1%
Victoria,Latrobe Valley,"61,690",>95%,92.1%
Victoria,Loddon - Elmore,"9,644",93.2%,89.4%
Victoria,Macedon Ranges,"25,326",>95%,>95%
Victoria,Manningham - East,"22,780",>95%,92.8%
Victoria,Manningham - West,"83,836",>95%,92.3%
Victoria,Maribyrnong,"79,009",84.5%,81.2%
Victoria,Maroondah,"96,054",93.9%,90.9%
Victoria,Maryborough - Pyrenees,"21,896",>95%,94.2%
Victoria,Melbourne City,"168,301",75.7%,72.5%
Victoria,Melton - Bacchus Marsh,"140,067",>95%,94.0%
Victoria,Mildura,"45,044",>95%,>95%
Victoria,Moira,"24,759",>95%,>95%
Victoria,Monash,"164,481",89.9%,86.6%
Victoria,Moreland - North,"69,193",87.7%,83.3%
Victoria,Mornington Peninsula,"138,719",>95%,>95%
Victoria,Murray River - Swan Hill,"30,518",>95%,>95%
Victoria,Nillumbik - Kinglake,"55,792",>95%,>95%
Victoria,Port Phillip,"102,172",80.6%,78.0%
Victoria,Shepparton,"52,875",>95%,>95%
Victoria,Stonnington - East,"38,392",89.1%,87.1%
Victoria,Stonnington - West,"65,508",78.4%,76.2%
Victoria,Sunbury,"35,526",>95%,93.7%
Victoria,Surf Coast - Bellarine Peninsula,"66,903",>95%,>95%
Victoria,Tullamarine - Broadmeadows,"147,953",>95%,92.0%
Victoria,Upper Goulburn Valley,"47,533",>95%,94.7%
Victoria,Wangaratta - Benalla,"39,069",>95%,>95%
Victoria,Warrnambool,"42,288",>95%,>95%
Victoria,Wellington,"36,407",>95%,>95%
Victoria,Whitehorse - East,"53,609",>95%,92.6%
Victoria,Whitehorse - West,"96,551",90.8%,87.9%
Victoria,Whittlesea - Wallan,"195,819",94.1%,89.2%
Victoria,Wodonga - Alpine,"59,893",>95%,>95%
Victoria,Wyndham,"205,788",>95%,>95%
Victoria,Yarra,"91,154",78.3%,76.2%
Victoria,Yarra Ranges,"128,460",>95%,91.7%
Western Australia,Albany,"49,479",86.4%,73.3%
Western Australia,Armadale,"69,570",84.9%,70.6%
Western Australia,Augusta - Margaret River - Busselton,"44,339",89.5%,76.7%
Western Australia,Bayswater - Bassendean,"69,815",85.3%,74.3%
Western Australia,Belmont - Victoria Park,"63,546",82.1%,71.3%
Western Australia,Bunbury,"83,581",87.4%,74.0%
Western Australia,Canning,"79,249",92.7%,81.5%
Western Australia,Cockburn,"89,272",85.1%,73.7%
Western Australia,Cottesloe - Claremont,"59,481",93.9%,88.4%
Western Australia,East Pilbara,"20,353",54.2%,40.9%
Western Australia,Esperance,"12,644",84.3%,70.1%
Western Australia,Fremantle,"33,152",90.9%,81.9%
Western Australia,Gascoyne,"7,464",71.6%,58.4%
Western Australia,Goldfields,"30,033",73.1%,56.2%
Western Australia,Gosnells,"97,821",84.7%,70.8%
Western Australia,Joondalup,"129,209",93.0%,83.1%
Western Australia,Kalamunda,"47,373",87.4%,75.3%
Western Australia,Kimberley,"26,881",70.0%,56.9%
Western Australia,Kwinana,"34,833",80.3%,66.5%
Western Australia,Mandurah,"84,465",89.2%,74.4%
Western Australia,Manjimup,"18,890",88.4%,75.3%
Western Australia,Melville,"86,700",93.4%,85.3%
Western Australia,Mid West,"42,212",86.0%,69.9%
Western Australia,Mundaring,"35,212",86.9%,74.0%
Western Australia,Perth City,"95,361",89.1%,81.0%
Western Australia,Rockingham,"105,744",83.2%,69.8%
Western Australia,Serpentine - Jarrahdale,"24,737",77.7%,63.6%
Western Australia,South Perth,"37,503",83.7%,76.5%
Western Australia,Stirling,"167,695",85.8%,75.6%
Western Australia,Swan,"111,894",85.3%,70.9%
Western Australia,Wanneroo,"161,088",82.4%,70.1%
Western Australia,West Pilbara,"28,179",51.8%,38.9%
Western Australia,Wheat Belt - North,"46,015",82.1%,68.9%
Western Australia,Wheat Belt - South,"15,925",85.8%,74.3%
